stt,sku,proName,brandName,category,cat_parent,cat_child,script,,,
1,SN-XM5,Sony WH-1000XM5,Sony,Tai nghe chụp tai,Tai nghe,Chụp tai,"Tai nghe Sony WH-1000XM5 - Chống ồn dịu tai, sử dụng thoải mái
Sony WH-1000XM5 với thiết kế chống ồn dòng cao cấp, được trang bị bộ xử lý QN1. Đây là một trong những tai nghe chụp tai tốt trong phân khúc chống ồn chủ động.

Thiết kế đẹp mắt, cá tính và có tính năng hạn chế chống ồn dịu tai
Tai nghe sở hữu thiết kế kiểu choàng đầu phong cách cá tính. Khi không sử dụng, bạn có thể gấp gọn lại và thuận tiện cho bạn mang theo trong công việc hay bất cứ nơi đâu. Đặc biệt, bao bì tai nghe không sử dụng nhựa thay vào đó là các vật liệu tái chế an toàn cho môi trường.

Chiếc tai nghe WH-1000XM5 này đẹp bắt mắt về kiểu dáng, tốt về chất lượng với lớp vỏ được bao bọc bằng nhựa cứng chắc, mượt mà, không hề thô cứng cùng với miếng đệm tai nghe bằng da màu đen sang trọng và tạo cảm giác êm ái. Đệm tai được hoàn thiện từ da mềm cùng thiết kế ôm khít đầu nhưng không hề gây áp lực lên đôi tai.",,,
2,JBL-F6,Loa JBL Flip 6,JBL,Loa di động,Loa,Loa di động,"Kiểu dáng nhỏ gọn thời trang, thời lượng hoạt động ấn tượng
JBL Flip 6 có thiết kế mang tính di động cao, đảm bảo thuận tiện để bạn mang đến bất kỳ đâu và tận hưởng âm nhạc yêu thích mọi lúc mọi nơi. Loa sở hữu kiểu dáng thanh lịch cùng gam màu trẻ trung. JBL Flip 6 sở hữu tới 6 phiên bản màu sắc khau nhau lần lượt là hồng, xanh (Lục - lá cây - da trời), trắng, đỏ, xám, đen. JBL Flip 6 mang đến trải nghiệm âm thanh tuyệt vời nhờ subwoofer dạng racetrack, bao gồm 2 loa bass thụ động và 1 tweeter tách rời, cung cấp chất âm có độ sâu, đầy sống động để lan tỏa đến bạn nguồn năng lượng mạnh mẽ, nâng cao cảm giác đắm chìm khi nghe nhạc.",,stt 1- 80,THƯƠNG
3,RZO-PANC,Tai nghe Bluetooth True Wireless Rezo Wave Pro ANC,Rezo,Tai nghe nhét tai,Tai nghe,Nhét tai,"Chống ồn chủ động, âm thanh sống động từng chi tiết Rezo Wave Pro ANC được trang bị công nghệ chống ồn chủ động (ANC) tiên tiến, giúp loại bỏ hiệu quả các tạp âm từ môi trường xung quanh, mang lại không gian âm nhạc riêng tư và trọn vẹn. Chất âm trầm ấm, mạnh mẽ cùng khả năng tái tạo chi tiết tốt giúp nâng tầm trải nghiệm giải trí của bạn.

Thiết kế bo tròn mềm mại, bám tai chắc chắn Tai nghe sở hữu ngôn ngữ thiết kế hiện đại với hộp sạc được bo cong mềm mại, tạo cảm giác cầm nắm thoải mái và gọn nhẹ khi bỏ túi. Phần housing (củ tai) được thiết kế công thái học, đi kèm các nút đệm silicone êm ái giúp bám chắc vào tai nhưng vẫn đảm bảo sự thông thoáng, không gây đau nhức khi sử dụng liên tục trong thời gian dài.",,stt 161- 240,PHONG
4,RZO-K50,Tai nghe Bluetooth True Wireless Rezo K50,Rezo,Tai nghe nhét tai,Tai nghe,Nhét tai,"Kết nối mượt mà, ngoại hình thời thượng Rezo K50 nổi bật trong phân khúc nhờ công nghệ kết nối Bluetooth hiện đại, đảm bảo đường truyền ổn định và độ trễ thấp, cực kỳ phù hợp cho nhu cầu nghe nhạc lẫn chơi game. Sản phẩm mang đến chất lượng âm thanh trong trẻo, cân bằng, đáp ứng tốt đa dạng các thể loại nhạc từ Ballad nhẹ nhàng đến EDM sôi động.

Kiểu dáng nhỏ gọn, tiện lợi mang theo mọi nơi Điểm cộng lớn nhất của Rezo K50 là thiết kế cực kỳ nhỏ gọn và tinh tế. Lớp vỏ ngoài được hoàn thiện tỉ mỉ từ nhựa cứng cao cấp, vừa bảo vệ linh kiện bên trong vừa tạo vẻ ngoài bóng bẩy, bắt mắt. Thiết kế tai nghe vừa vặn với khuôn tai người dùng phổ thông, mang lại cảm giác đeo ""nhẹ tựa không"", giúp bạn thoải mái tận hưởng âm nhạc suốt cả ngày dài.",,stt 81 - 160,YẾN
5,RZO-RZ09,Tai nghe Bluetooth True Wireless Rezo RZ09 ANC,Rezo,Tai nghe nhét tai,Tai nghe,Nhét tai,"Công nghệ ANC lọc ồn hiệu quả, đàm thoại rõ ràng Rezo RZ09 ANC là giải pháp hoàn hảo cho những ai cần sự tập trung nhờ tính năng chống ồn chủ động, giúp giảm thiểu tiếng ồn giao thông hay tiếng ồn văn phòng. Bên cạnh đó, micro tích hợp được tối ưu hóa giúp giọng nói trong trẻo hơn, hỗ trợ đàm thoại rõ ràng ngay cả khi bạn đang di chuyển ngoài đường.

Thiết kế tối giản, chất liệu thân thiện Sản phẩm theo đuổi phong cách tối giản (minimalism) nhưng vẫn toát lên vẻ sang trọng. Hộp sạc và tai nghe được làm từ vật liệu an toàn, có độ bền cao, chống trầy xước tốt. Kiểu dáng in-ear (nhét tai) với đệm tai mềm mại giúp cách âm thụ động hiệu quả, đồng thời giữ cho tai nghe nằm cố định chắc chắn ngay cả khi bạn vận động mạnh hay tập thể thao.",,,
6,RZO-AIR5,Tai nghe Bluetooth True Wireless Rezo Air 5 Deluxe ANC,Rezo,Tai nghe nhét tai,Tai nghe,Nhét tai,"Trải nghiệm âm thanh cao cấp, không gian tĩnh lặng Đúng như tên gọi ""Deluxe"", phiên bản Rezo Air 5 mang đến trải nghiệm nghe nhìn cao cấp với dải âm rộng và độ chi tiết cao. Tính năng chống ồn ANC hoạt động mạnh mẽ, tách biệt bạn khỏi sự ồn ào của thế giới bên ngoài chỉ với một thao tác chạm. Đây là lựa chọn lý tưởng cho các tín đồ âm thanh yêu thích sự hoàn hảo.

Thiết kế ""Air"" nhẹ tênh, êm ái tuyệt đối Tai nghe được thiết kế chú trọng tối đa vào sự thoải mái với trọng lượng siêu nhẹ, giảm áp lực lên ống tai khi đeo. Hộp sạc được thiết kế sang trọng, đóng mở linh hoạt. Đặc biệt, các đường nét trên tai nghe được trau chuốt mượt mà, không chỉ đẹp mắt mà còn mang lại cảm giác đeo êm ái, dễ chịu như không đeo, phù hợp cho những chuyến đi dài.",,,
7,BU-E2F,Tai nghe Bluetooth thể thao Baseus Eli 2i Fit,Baseus,Tai nghe nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây thể thao Baseus Eli 2i Fit là lựa chọn lý tưởng để thưởng thức âm nhạc mỗi khi vận động. Qua các đặc điểm vượt trội, mẫu tai nghe này có thể đáp ứng đa dạng nhu cầu khác nhau.

Dynamic driver 14.2mm, âm trầm tăng cường
Tai nghe không dây thể thao Baseus Eli 2i Fit được tích hợp Dynamic driver kích thước lớn 14.2mm, thể hiện rõ chất lượng trong trải nghiệm thực tế. Nhờ driver kích thước lớn, tai nghe có thể tái hiện dải âm rộng một cách sống động.

Thiết kế móc tai, kiểu dáng tinh tế
Tai nghe không dây thể thao Baseus Eli 2i Fit nổi bật với phong cách móc tai thể thao, hạn chế bị rơi ra khi di chuyển. Thiết kế này giúp tai nghe ôm gọn, bám chắc vào tai khi chơi thể thao hoặc vận động hàng ngày.",,,
8,BU-ES2,Tai nghe Bluetooth thể thao Baseus Eli Sport 2 Open-Ear,Baseus,Tai nghe nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây thể thao Baseus Eli Sport 2 Open-Ear là sự lựa chọn lý tưởng cho những ai yêu thích vận động, mang đến trải nghiệm âm thanh sống động. Thiết kế mở độc đáo của tai nghe Baseus này mang lại cảm giác thoải mái vượt trội trong mọi hoạt động.

Trải nghiệm nghe mở với chất lượng không dây
Baseus Eli Sport 2 được trang bị màng loa động có đường kính 17mm, phủ lớp Titanium nhằm tăng cường độ cứng và cải thiện khả năng tái tạo âm thanh. Thiết kế Open-Ear, không nhét tai, không chỉ giữ nguyên chất lượng âm thanh mà còn mang lại cảm giác thoải mái, tự nhiên.",,,
9,BU-BE17,Tai nghe Bluetooth True Wireless Baseus Bowie E17,Baseus,Tai nghe nhét tai,Tai nghe,Nhét tai,"Tai nghe Bluetooth Baseus Bowie E17 là mẫu tai nghe bỏ túi sở hữu chất âm trong trẻo, rõ ràng với bộ driver 12mm lớn hơn phần lớn các sản phẩm hiện có. Không chỉ sở hữu chất lượng âm thanh tốt hơn, Baseus Bowie E17 còn được thiết kế để mang tới sự thoải mái khi đeo, tiện lợi mang theo bên mình và thời lượng hoạt động ấn tượng.

Âm thanh trong và rõ ràng với driver kích thước lớn hơn
Tai nghe Bluetooth Baseus Bowie E17 dù thuộc phân khúc sản phẩm phổ thông nhưng vẫn được ưu ái trang bị driver có kích thước 12mm. Với driver lớn hơn, dải âm bass trên Baseus Bowie E17 sẽ được cải thiện rõ rệt để phù hợp với những dòng nhạc phổ biến như Pop, Acoustic, EDM, Ballad, Rock,... Đồng thời, âm lượng tai nghe cũng sẽ lớn hơn để thể hiện các bản nhạc, lời bài hát một cách rõ ràng.",,,
10,BU-BE11,Tai nghe Bluetooth True Wireless Baseus Bowie E11,Baseus,Tai nghe nhét tai,Tai nghe,Nhét tai,"Baseus Bowie E11 tuy nằm trong phân khúc các dòng sản phẩm bình dân nhưng vẫn có thể mang đến chất âm ấn tượng, sinh động. Sản phẩm tai nghe Baseus được trang bị driver tiên tiến kết hợp cùng công nghệ âm thanh hiện đại hứa hẹn mang đến trải nghiệm nghe nhạc trọn vẹn. 

Khả năng phát nhạc đỉnh cao với chất âm Hi-Fi ấn tượng
Cấu trúc bên trong của chiếc tai nghe bao gồm driver 12mm với khả năng phát nhạc Hi-Fi độc đáo. Nhờ vào đó, những bản nhạc khi được phát cùng với tai nghe sẽ trở nên sống động, chân thực và không bị lẫn các tạp âm bên ngoài. Hơn nữa, tai nghe cũng có khả năng phát nhạc ở dải tần số rộng từ 20hz - 20kHz. Trong dải tần này, bạn có thể trải nghiệm đa dạng mọi chất âm như âm trầm, âm trung và âm cao sắc nét. 

Kiểu dáng xinh xắn cùng độ bền vượt trội
Điểm nhấn ở dòng tai nghe Bluetooth đến từ thương hiệu Baseus nằm ở kiểu dáng nhỏ gọn và vô cùng xinh xắn. Chiếc tai nghe mang đến cho người dùng các gam màu để lựa chọn bao gồm đen, tím và trắng. ",,,
